area,source_number,water_licence,source_ID,program_zone,location_LSD,start_date,end_date,total_licensed_volume
Kearl,1,Kearl Water Fence,KWS-01,Pond 1,15-31-096-07W4,0000-00-00,0000-00-00,30000
Syncrude,1,,SWS-001,Cancelled,LSD-04 Sec-01 Twp-094 Rge-10 Mer-4,0000-00-00,0000-00-00,0
Syncrude,2,,SWS-002,Cancelled,LSD-15 Sec-32 Twp-093 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,3,321206,SWS-003,West Borrow Pit,LSD-04 Sec-03 Twp-094 Rge-09 Mer-4,2013-01-13,2013-02-26,3000
Syncrude,4,,SWS-004,Cancelled,LSD-04 Sec-02 Twp-094 Rge-09 Mer-4,0000-00-00,0000-00-00,0
Syncrude,5,321206,SWS-005,East Borrow Pit,LSD-13 Sec-36 Twp-093 Rge-09 Mer-4,2013-02-20,2013-03-06,3000
Syncrude,6,320839,SWS-006,Athabasca River,LSD-01 Sec-35 Twp-092 Rge-10 Mer-4,0000-00-00,0000-00-00,10000
Syncrude,7,,SWS-007,Cancelled,LSD-10 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,0
Syncrude,8,321666,SWS-008,Aspen Lake,LSD-02 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,3000
Syncrude,9,,SWS-009,Cancelled,LSD-03 Sec-16 Twp-094 Rge-07 Mer-4,0000-00-00,0000-00-00,0
Syncrude,10,321206,SWS-010,Pond,LSD-14 Sec-31 Twp-094 Rge-10 Mer-4,0000-00-00,0000-00-00,10000
Syncrude,11,320839,SWS-011,Kearl Lake,LSD-12 Sec-28 Twp-095 Rge-08 Mer-4,0000-00-00,0000-00-00,5000
Syncrude,12,,SWS-012,SWS-012,LSD-07 Sec-29 Twp-095 Rge-08 Mer-4,0000-00-00,0000-00-00,0
Kearl,2,Kearl Water Fence,KWS-02,Pond 2,LSD-10 Sec-12 Twp-097 Rge-08 Mer-4,0000-00-00,0000-00-00,30000
Kearl,3,,KWS-03,MSF Pond,,0000-00-00,0000-00-00,10000
